network,platform,latitude,longitude,date,mass_concentration_of_chlorophyll_in_sea_water 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-08T14:00:00Z,5.01 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-08T15:00:00Z,5.05 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-08T16:00:00Z,5.07 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-08T17:00:00Z,5.01 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-08T18:00:00Z,5.04 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-08T19:00:00Z,5.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-08T20:00:00Z,4.97 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-08T21:00:00Z,4.99 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-08T22:00:00Z,5.01 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-09T05:00:00Z,5.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-09T06:00:00Z,4.92 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-09T07:00:00Z,5.13 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-09T08:00:00Z,5.1 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-09T09:00:00Z,5.08 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-09T10:00:00Z,5.03 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-09T11:00:00Z,5.03 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-09T12:00:00Z,5.03 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-09T13:00:00Z,5.1 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-09T14:00:00Z,5.05 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-09T15:00:00Z,5.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-09T16:00:00Z,5.06 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-09T17:00:00Z,5.08 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-09T18:00:00Z,5.08 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-09T19:00:00Z,5.08 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-09T20:00:00Z,5.06 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-09T21:00:00Z,5.08 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-09T22:00:00Z,5.17 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-10T05:00:00Z,4.99 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-10T06:00:00Z,4.92 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-10T07:00:00Z,4.89 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-10T08:00:00Z,4.91 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-10T09:00:00Z,4.88 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-10T10:00:00Z,4.9 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-10T11:00:00Z,4.88 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-10T12:00:00Z,4.97 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-10T13:00:00Z,4.83 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-10T14:00:00Z,4.81 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-10T15:00:00Z,4.79 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-10T16:00:00Z,4.79 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-10T17:00:00Z,4.75 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-10T18:00:00Z,4.74 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-10T19:00:00Z,4.74 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-10T20:00:00Z,4.74 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-10T21:00:00Z,4.69 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-10T22:00:00Z,4.73 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-11T05:00:00Z,4.61 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-11T06:00:00Z,4.56 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-11T07:00:00Z,4.59 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-11T08:00:00Z,4.57 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-11T09:00:00Z,4.62 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-11T10:00:00Z,4.49 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-11T11:00:00Z,4.57 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-11T12:00:00Z,4.51 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-11T13:00:00Z,4.51 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-11T14:00:00Z,4.44 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-11T15:00:00Z,4.44 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-11T16:00:00Z,4.47 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-11T17:00:00Z,4.44 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-11T18:00:00Z,4.44 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-11T19:00:00Z,4.45 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-11T20:00:00Z,4.53 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-11T21:00:00Z,4.51 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-11T22:00:00Z,4.47 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-12T05:00:00Z,4.29 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-12T06:00:00Z,4.38 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-12T07:00:00Z,4.35 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-12T08:00:00Z,4.37 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-12T09:00:00Z,4.36 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-12T10:00:00Z,4.5 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-12T11:00:00Z,4.45 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-12T12:00:00Z,4.16 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-12T13:00:00Z,4.08 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-12T14:00:00Z,4.09 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-12T15:00:00Z,4.05 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-12T16:00:00Z,4.05 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-12T17:00:00Z,4.08 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-12T18:00:00Z,4.08 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-12T19:00:00Z,4.16 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-12T20:00:00Z,4.22 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-12T21:00:00Z,4.2 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-12T22:00:00Z,4.25 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-13T05:00:00Z,3.91 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-13T06:00:00Z,3.96 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-13T07:00:00Z,4.03 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-13T08:00:00Z,4.09 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-13T09:00:00Z,4.1 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-13T10:00:00Z,4.03 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-13T11:00:00Z,4.02 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-13T12:00:00Z,3.91 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-13T13:00:00Z,4.01 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-13T14:00:00Z,3.82 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-13T15:00:00Z,3.82 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-13T16:00:00Z,3.79 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-13T17:00:00Z,3.91 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-13T18:00:00Z,4.05 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-13T19:00:00Z,4.07 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-13T20:00:00Z,4.29 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-13T21:00:00Z,4.45 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-13T22:00:00Z,4.53 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-14T05:00:00Z,4.47 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-14T06:00:00Z,4.3 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-14T07:00:00Z,4.47 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-14T08:00:00Z,4.43 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-14T09:00:00Z,4.47 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-14T10:00:00Z,4.46 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-14T11:00:00Z,4.43 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-14T12:00:00Z,4.31 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-14T13:00:00Z,4.01 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-14T14:00:00Z,3.96 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-14T15:00:00Z,4.06 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-14T16:00:00Z,3.98 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-14T17:00:00Z,3.93 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-14T18:00:00Z,3.92 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-14T19:00:00Z,4.21 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-14T20:00:00Z,4.3 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-14T21:00:00Z,4.78 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-14T22:00:00Z,4.83 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-15T05:00:00Z,4.18 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-15T06:00:00Z,4.09 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-15T07:00:00Z,4.27 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-15T08:00:00Z,4.26 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-15T09:00:00Z,4.31 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-15T10:00:00Z,4.3 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-15T11:00:00Z,4.23 
