network,platform,latitude,longitude,date,mass_concentration_of_chlorophyll_in_sea_water,qcFlag 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-02T12:00:00Z,10.51,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-02T12:00:00Z,2.38,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-02T13:00:00Z,1.7,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-02T13:00:00Z,1.92,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-02T13:00:00Z,10.05,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-02T13:00:00Z,2.18,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-02T13:15:00Z,-9999.0,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-02T13:30:00Z,5.85,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-02T13:45:00Z,5.88,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-02T14:00:00Z,6.1,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-02T14:00:00Z,1.54,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-02T14:00:00Z,2.18,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-02T14:00:00Z,11.68,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-02T14:00:00Z,1.83,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-02T14:15:00Z,6.04,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-02T14:30:00Z,6.07,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-02T14:45:00Z,5.92,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-02T15:00:00Z,6.16,1111122 
