network,platform,latitude,longitude,date,sea_water_turbidity,qcFlag 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T22:30:00Z,840.840637,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-11-01T22:45:00Z,5.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T23:00:00Z,384.016626,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T23:00:00Z,12.0,11111222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T23:30:00Z,18.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T23:30:00Z,1359.635585,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-11-01T23:45:00Z,6.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-02T00:00:00Z,19.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-02T00:00:00Z,15.0,11111222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-02T00:30:00Z,530.647313,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-02T00:30:00Z,451.405787,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-11-02T00:45:00Z,5.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-02T01:00:00Z,20.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-02T01:00:00Z,13.0,11111222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-02T01:30:00Z,674.568888,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-02T01:30:00Z,482.221936,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-11-02T01:45:00Z,4.0,1111122 
